date,experiment,target,secondary,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,HutchBase_name,R1
220623,VicOAS_05,BA.1,Strep,lib2,WOO-3,200,abneg,escape,WOO-3-BA.1-Strep-abneg,ab_selection,1526528,0.4,VicOAS05_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS05_lib2_abneg*R1*.fastq.gz
220623,VicOAS_06,BA.1,Strep,lib1,WOO-4,200,abneg,escape,WOO-4-BA.1-Strep-abneg,ab_selection,1440151,0.351,VicOAS06_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS06_lib1_abneg*R1*.fastq.gz
220623,VicOAS_06,BA.1,Strep,lib2,WOO-4,200,abneg,escape,WOO-4-BA.1-Strep-abneg,ab_selection,1439159,0.371,VicOAS06_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS06_lib2_abneg*R1*.fastq.gz
220623,VicOAS_07,BA.1,Strep,lib1,WOO-5,200,abneg,escape,WOO-5-BA.1-Strep-abneg,ab_selection,1347197,0.355,VicOAS07_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS07_lib1_abneg*R1*.fastq.gz
220623,VicOAS_07,BA.1,Strep,lib2,WOO-5,200,abneg,escape,WOO-5-BA.1-Strep-abneg,ab_selection,1402918,0.369,VicOAS07_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS07_lib2_abneg*R1*.fastq.gz
220623,VicOAS_08,BA.1,Strep,lib1,WOO-6,200,abneg,escape,WOO-6-BA.1-Strep-abneg,ab_selection,1465522,0.378,VicOAS08_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS08_lib1_abneg*R1*.fastq.gz
220623,VicOAS_08,BA.1,Strep,lib2,WOO-6,200,abneg,escape,WOO-6-BA.1-Strep-abneg,ab_selection,1624568,0.396,VicOAS08_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS08_lib2_abneg*R1*.fastq.gz
220623,VicOAS_09,Wuhan-Hu-1,Strep,lib1,WWW-1,1000,abneg,escape,WWW-1-Wuhan-Hu-1-Strep-abneg,ab_selection,855573,0.204,VicOAS09_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS09_lib1_abneg*R1*.fastq.gz
220623,VicOAS_09,Wuhan-Hu-1,Strep,lib2,WWW-1,1000,abneg,escape,WWW-1-Wuhan-Hu-1-Strep-abneg,ab_selection,941787,0.224,VicOAS09_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS09_lib2_abneg*R1*.fastq.gz
220623,VicOAS_10,Wuhan-Hu-1,Strep,lib1,WWW-2,1000,abneg,escape,WWW-2-Wuhan-Hu-1-Strep-abneg,ab_selection,798404,0.183,VicOAS10_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS10_lib1_abneg*R1*.fastq.gz
220623,VicOAS_10,Wuhan-Hu-1,Strep,lib2,WWW-2,1000,abneg,escape,WWW-2-Wuhan-Hu-1-Strep-abneg,ab_selection,821424,0.191,VicOAS10_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS10_lib2_abneg*R1*.fastq.gz
220623,VicOAS_11,Wuhan-Hu-1,Strep,lib1,WOO-3,1000,abneg,escape,WOO-3-Wuhan-Hu-1-Strep-abneg,ab_selection,673279,0.164,VicOAS11_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS11_lib1_abneg*R1*.fastq.gz
220623,VicOAS_11,Wuhan-Hu-1,Strep,lib2,WOO-3,1000,abneg,escape,WOO-3-Wuhan-Hu-1-Strep-abneg,ab_selection,740321,0.172,VicOAS11_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS11_lib2_abneg*R1*.fastq.gz
220623,VicOAS_12,Wuhan-Hu-1,Strep,lib1,WOO-4,1000,abneg,escape,WOO-4-Wuhan-Hu-1-Strep-abneg,ab_selection,841108,0.219,VicOAS12_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS12_lib1_abneg*R1*.fastq.gz
220623,VicOAS_12,Wuhan-Hu-1,Strep,lib2,WOO-4,1000,abneg,escape,WOO-4-Wuhan-Hu-1-Strep-abneg,ab_selection,960379,0.23,VicOAS12_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS12_lib2_abneg*R1*.fastq.gz
220623,VicOAS_13,Wuhan-Hu-1,Strep,lib1,WOO-5,1000,abneg,escape,WOO-5-Wuhan-Hu-1-Strep-abneg,ab_selection,697012,0.158,VicOAS13_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS13_lib1_abneg*R1*.fastq.gz
220623,VicOAS_13,Wuhan-Hu-1,Strep,lib2,WOO-5,1000,abneg,escape,WOO-5-Wuhan-Hu-1-Strep-abneg,ab_selection,736009,0.171,VicOAS13_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS13_lib2_abneg*R1*.fastq.gz
220623,VicOAS_14,Wuhan-Hu-1,Strep,lib1,WOO-6,1000,abneg,escape,WOO-6-Wuhan-Hu-1-Strep-abneg,ab_selection,741465,0.177,VicOAS14_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS14_lib1_abneg*R1*.fastq.gz
220623,VicOAS_14,Wuhan-Hu-1,Strep,lib2,WOO-6,1000,abneg,escape,WOO-6-Wuhan-Hu-1-Strep-abneg,ab_selection,782764,0.19,VicOAS14_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS14_lib2_abneg*R1*.fastq.gz
