date,experiment,target,secondary,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,HutchBase_name,R1
220623,VicOAS_1-14,Wuhan-Hu-1,none,lib1,none,0,ref,reference,none-Wuhan-Hu-1-none-ref,ab_selection,,,220623_Wuhan_lib1_ref,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/220623_Wuhan_lib1_ref*R1*.fastq.gz
220623,VicOAS_1-14,Wuhan-Hu-1,none,lib2,none,0,ref,reference,none-Wuhan-Hu-1-none-ref,ab_selection,,,220623_Wuhan_lib2_ref,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/220623_Wuhan_lib2_ref*R1*.fastq.gz
220623,VicOAS_1-14,BA.1,none,lib1,none,0,ref,reference,none-BA.1-none-ref,ab_selection,,,220623_BA1_lib1_ref,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/220623_BA1_lib1_ref*R1*.fastq.gz
220623,VicOAS_1-14,BA.1,none,lib2,none,0,ref,reference,none-BA.1-none-ref,ab_selection,,,220623_BA1_lib2_ref,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/220623_BA1_lib2_ref*R1*.fastq.gz
220623,VicOAS_01,BA.1,FLAG,lib1,WOO-3,50,abneg,escape,WOO-3-BA.1-FLAG-abneg,ab_selection,1315751,0.328,VicOAS01_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS01_lib1_abneg*R1*.fastq.gz
220623,VicOAS_01,BA.1,FLAG,lib2,WOO-3,50,abneg,escape,WOO-3-BA.1-FLAG-abneg,ab_selection,1420019,0.345,VicOAS01_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS01_lib2_abneg*R1*.fastq.gz
220623,VicOAS_02,BA.1,FLAG,lib1,WOO-4,50,abneg,escape,WOO-4-BA.1-FLAG-abneg,ab_selection,911578,0.226,VicOAS02_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS02_lib1_abneg*R1*.fastq.gz
220623,VicOAS_02,BA.1,FLAG,lib2,WOO-4,50,abneg,escape,WOO-4-BA.1-FLAG-abneg,ab_selection,853762,0.226,VicOAS02_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS02_lib2_abneg*R1*.fastq.gz
220623,VicOAS_03,BA.1,FLAG,lib1,WOO-5,50,abneg,escape,WOO-5-BA.1-FLAG-abneg,ab_selection,1092980,0.299,VicOAS03_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS03_lib1_abneg*R1*.fastq.gz
220623,VicOAS_03,BA.1,FLAG,lib2,WOO-5,50,abneg,escape,WOO-5-BA.1-FLAG-abneg,ab_selection,1206355,0.299,VicOAS03_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS03_lib2_abneg*R1*.fastq.gz
220623,VicOAS_04,BA.1,FLAG,lib1,WOO-6,50,abneg,escape,WOO-6-BA.1-FLAG-abneg,ab_selection,1153142,0.285,VicOAS04_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS04_lib1_abneg*R1*.fastq.gz
220623,VicOAS_04,BA.1,FLAG,lib2,WOO-6,50,abneg,escape,WOO-6-BA.1-FLAG-abneg,ab_selection,1197316,0.294,VicOAS04_lib2_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS04_lib2_abneg*R1*.fastq.gz
220623,VicOAS_05,BA.1,Strep,lib1,WOO-3,200,abneg,escape,WOO-3-BA.1-Strep-abneg,ab_selection,1618434,0.384,VicOAS05_lib1_abneg,/shared/ngs/illumina/agreaney/220701_VH00699_151_AAC3YW3M5/Unaligned/Project_agreaney/VicOAS05_lib1_abneg*R1*.fastq.gz
